14,?+2=10,8,5,6,7,NumberBonds
9,8+?=10,2,0,1,3,NumberBonds
13,?+1=10,9,6,7,8,NumberBonds
597,29-6,23,21,22,24,Subtraction
17,2x5,10,8,12,9,Multiplication
5,Double 5,10,12,8,11,Doubling
15,2x3,6,4,8,5,Multiplication
15,2x3,6,4,8,5,Multiplication
4,3+?=10,7,4,5,6,NumberBonds
83,8+2,10,11,9,12,Addition
40,3+9,12,13,11,14,Addition
17,2x5,10,8,12,9,Multiplication
9,8+?=10,2,0,1,3,NumberBonds
511,21-0,21,19,20,22,Subtraction
48,4+7,11,12,10,13,Addition
13,?+1=10,9,6,7,8,NumberBonds
276,17-5,12,10,11,13,Subtraction
88,8+7,15,16,14,17,Addition
59,5+8,13,14,12,15,Addition
3,Double 3,6,8,4,7,Doubling
